Symbol,Today,One Week,One Month,Three Months,Six Months,One Year,One Week Change,One Month Change,Three Month Change,Six Month Change,One Year Change
ALU,0.06716312499999917,0.0667821875000011,0.06879593750000179,0.06879593750000179,0.07293312499999913,0.07553093749999894,0.57%,-2.37%,-2.37%,-7.91%,-11.08%
NI,0.6375910944396372,0.6166273207115065,0.6407792054294147,0.649254915134037,0.7721138264485691,1.9280346875000018,3.4%,-0.5%,-1.8%,-17.42%,-66.93%
STEEL-HR,0.01713804054033041,0.01727800638866353,0.017060281735700948,0.017775662738291804,0.020046219833471594,0.0185065955018088,-0.81%,0.46%,-3.59%,-14.51%,-7.39%
TITANIUM,0.17718432840052162,0.17718432840052162,0.17718432840052162,0.18427170153654354,0.0,0.0,0.0%,0.0%,-3.85%,inf%,inf%
USD,1.0,1.0,1.0,1.0,1.0,1.0,0.0%,0.0%,0.0%,0.0%,0.0%
XCU,0.23668750000000188,0.23246874999999953,0.2409062499999977,0.22337499999999763,0.24734374999999906,0.22737500000000155,1.81%,-1.75%,5.96%,-4.31%,4.1%
IRON,0.0033427682737168984,0.0032600311041990995,0.003498289269051336,0.0033138413685847076,0.0039166407465007795,0.0032836702954898564,2.54%,-4.45%,0.87%,-14.65%,1.8%
LITHIUM,1.104175025738165,1.1275026671269932,1.3218996787006183,1.4152102442559593,2.286108856105768,2.4416264653646778,-2.07%,-16.47%,-21.98%,-51.7%,-54.78%
XAG,24.13614485493289,22.72862631146642,24.295418723792192,23.08716756422234,20.759384338840523,19.121819630337797,6.19%,-0.66%,4.54%,16.27%,26.22%
XAU,1917.586569447271,1891.0735993966573,1953.7388775861361,1960.3761344125007,1811.2736065189172,1751.2753940455482,1.4%,-1.85%,-2.18%,5.87%,9.5%
ZNC,0.07242455063186577,0.07188801487992567,0.07357538094038572,0.07170916962927817,0.09392797046409417,0.12208614618726096,0.75%,-1.56%,1.0%,-22.89%,-40.68%
